,name,name:fa,name:en,addr:street,geometry,area_m2,lat,lon
0,پارک ملت,,Mellat Park,,POINT (50.01339664141763 36.27212850653134),61290.734839504905,36.27212850653134,50.01339664141763
1,بوستان ملاخلیلا,,Molla Khalila Park,,POINT (49.98921945385839 36.257095786743136),55701.77917232241,36.257095786743136,49.98921945385839
2,بوستان الغدیر,,AlQadir Park,,POINT (50.01881063710893 36.29957873757869),43566.35622907995,36.29957873757869,50.01881063710893
3,بوستان پامچال,,Pamchal Park,,POINT (49.995990485451735 36.31626649824523),41837.520120408226,36.31626649824523,49.995990485451735
4,بوستان مادر و کودک,بوستان مادر و کودک,Mother and Child Park,کنارگذر جمهوری اسلامی,POINT (50.00948790790212 36.2511995899538),40674.311006697084,36.2511995899538,50.00948790790212
