,name,name:fa,name:en,addr:street,area_m2,lat,lon,geometry
0,پارک ملت,,Mellat Park,,61290.734839504905,36.27212850653134,50.01339664141763,POINT (50.01339664141763 36.27212850653134)
1,بوستان ملاخلیلا,,Molla Khalila Park,,55701.77917232241,36.257095786743136,49.98921945385839,POINT (49.98921945385839 36.257095786743136)
2,بوستان الغدیر,,AlQadir Park,,43566.35622907995,36.29957873757869,50.01881063710893,POINT (50.01881063710893 36.29957873757869)
3,بوستان پامچال,,Pamchal Park,,41837.520120408226,36.31626649824523,49.995990485451735,POINT (49.995990485451735 36.31626649824523)
4,بوستان مادر و کودک,بوستان مادر و کودک,Mother and Child Park,کنارگذر جمهوری اسلامی,40674.311006697084,36.2511995899538,50.00948790790212,POINT (50.00948790790212 36.2511995899538)
