,name,name:en,geometry,lat,lon
0,سینما مهتاب,Cinema Mahtab,POINT (50.0093756 36.2682309),36.2682309,50.0093756
1,سینما بهمن,Cinema Bahman,POINT (50.011966809929945 36.27137651010412),36.27137651010412,50.011966809929945
