from_id,to_id,travel_time
78,Mother and Child Park,55
79,Mellat Park,36
79,Molla Khalila Park,52
79,AlQadir Park,41
79,Pamchal Park,41
79,Mother and Child Park,61
80,Mellat Park,40
80,Molla Khalila Park,48
80,AlQadir Park,48
80,Pamchal Park,42
80,Mother and Child Park,61
81,Mellat Park,26
81,Molla Khalila Park,60
81,AlQadir Park,33
81,Pamchal Park,48
81,Mother and Child Park,55
82,Mellat Park,26
82,Molla Khalila Park,56
82,AlQadir Park,27
82,Pamchal Park,45
82,Mother and Child Park,57
83,Mellat Park,32
83,Molla Khalila Park,53
83,AlQadir Park,27
83,Pamchal Park,44
83,Mother and Child Park,55
84,Mellat Park,34
84,Molla Khalila Park,63
84,AlQadir Park,32
84,Pamchal Park,49
84,Mother and Child Park,59
85,Mellat Park,35
85,Molla Khalila Park,54
85,AlQadir Park,32
85,Pamchal Park,42
85,Mother and Child Park,58
86,Mellat Park,36
86,Molla Khalila Park,53
86,AlQadir Park,27
86,Pamchal Park,41
86,Mother and Child Park,57
87,Mellat Park,34
87,Molla Khalila Park,57
87,AlQadir Park,20
87,Pamchal Park,46
87,Mother and Child Park,53
88,Mellat Park,30
88,Molla Khalila Park,57
88,AlQadir Park,24
88,Pamchal Park,44
88,Mother and Child Park,56
89,Mellat Park,35
89,Molla Khalila Park,57
89,AlQadir Park,29
89,Pamchal Park,34
89,Mother and Child Park,56
90,Mellat Park,41
90,Molla Khalila Park,55
90,AlQadir Park,49
90,Pamchal Park,43
90,Mother and Child Park,65
91,Mellat Park,43
91,Molla Khalila Park,58
91,AlQadir Park,42
91,Pamchal Park,35
91,Mother and Child Park,66
92,Mellat Park,32
92,Molla Khalila Park,72
92,AlQadir Park,13
92,Pamchal Park,60
92,Mother and Child Park,63
93,Mellat Park,33
93,Molla Khalila Park,67
93,AlQadir Park,7
93,Pamchal Park,54
93,Mother and Child Park,60
94,Mellat Park,39
94,Molla Khalila Park,61
94,AlQadir Park,33
94,Pamchal Park,34
94,Mother and Child Park,62
95,Mellat Park,41
95,Molla Khalila Park,64
95,AlQadir Park,25
95,Pamchal Park,35
95,Mother and Child Park,62
96,Mellat Park,41
96,Molla Khalila Park,67
96,AlQadir Park,5
96,Pamchal Park,50
96,Mother and Child Park,63
97,Mellat Park,50
97,Molla Khalila Park,65
97,AlQadir Park,51
97,Pamchal Park,43
97,Mother and Child Park,74
99,Mellat Park,45
99,Molla Khalila Park,75
99,AlQadir Park,17
99,Pamchal Park,48
99,Mother and Child Park,69
100,Mellat Park,53
100,Molla Khalila Park,68
100,AlQadir Park,54
100,Pamchal Park,32
100,Mother and Child Park,77
98,Mellat Park,46
98,Molla Khalila Park,63
98,AlQadir Park,44
98,Pamchal Park,33
98,Mother and Child Park,72
101,Mellat Park,45
101,Molla Khalila Park,78
101,AlQadir Park,24
101,Pamchal Park,57
101,Mother and Child Park,70
102,Mellat Park,50
102,Molla Khalila Park,75
102,AlQadir Park,24
102,Pamchal Park,57
102,Mother and Child Park,73
103,Mellat Park,51
103,Molla Khalila Park,77
103,AlQadir Park,25
103,Pamchal Park,54
103,Mother and Child Park,71
104,Mellat Park,59
104,Molla Khalila Park,86
104,AlQadir Park,34
104,Pamchal Park,65
104,Mother and Child Park,82
105,Mellat Park,56
105,Molla Khalila Park,83
105,AlQadir Park,31
105,Pamchal Park,50
105,Mother and Child Park,74
107,Mellat Park,52
107,Molla Khalila Park,68
107,AlQadir Park,55
107,Pamchal Park,27
107,Mother and Child Park,77
108,Mellat Park,60
108,Molla Khalila Park,76
108,AlQadir Park,63
108,Pamchal Park,8
108,Mother and Child Park,85
109,Mellat Park,54
109,Molla Khalila Park,71
109,AlQadir Park,57
109,Pamchal Park,19
109,Mother and Child Park,80
110,Mellat Park,53
110,Molla Khalila Park,68
110,AlQadir Park,48
110,Pamchal Park,26
110,Mother and Child Park,77
111,Mellat Park,47
111,Molla Khalila Park,69
111,AlQadir Park,31
111,Pamchal Park,38
111,Mother and Child Park,67
112,Mellat Park,50
112,Molla Khalila Park,74
112,AlQadir Park,30
112,Pamchal Park,37
112,Mother and Child Park,70
113,Mellat Park,64
113,Molla Khalila Park,90
113,AlQadir Park,38
113,Pamchal Park,60
113,Mother and Child Park,81
114,Mellat Park,52
114,Molla Khalila Park,79
114,AlQadir Park,29
114,Pamchal Park,38
114,Mother and Child Park,72
115,Mellat Park,58
115,Molla Khalila Park,74
115,AlQadir Park,61
115,Pamchal Park,22
115,Mother and Child Park,83
116,Mellat Park,64
116,Molla Khalila Park,79
116,AlQadir Park,62
116,Pamchal Park,21
116,Mother and Child Park,88
117,Mellat Park,52
117,Molla Khalila Park,76
117,AlQadir Park,41
117,Pamchal Park,32
117,Mother and Child Park,72
106,Mellat Park,58
106,Molla Khalila Park,79
106,AlQadir Park,47
106,Pamchal Park,28
106,Mother and Child Park,78
118,Mellat Park,63
118,Molla Khalila Park,76
118,AlQadir Park,56
118,Pamchal Park,21
118,Mother and Child Park,86
119,Mellat Park,56
119,Molla Khalila Park,73
119,AlQadir Park,59
119,Pamchal Park,33
119,Mother and Child Park,82
120,Mellat Park,13
120,Molla Khalila Park,58
120,AlQadir Park,38
120,Pamchal Park,54
120,Mother and Child Park,49
121,Mellat Park,9
121,Molla Khalila Park,53
121,AlQadir Park,37
121,Pamchal Park,52
121,Mother and Child Park,44
122,Mellat Park,39
122,Molla Khalila Park,56
122,AlQadir Park,38
122,Pamchal Park,41
122,Mother and Child Park,62
123,Mellat Park,46
123,Molla Khalila Park,61
123,AlQadir Park,42
123,Pamchal Park,39
123,Mother and Child Park,70
124,Mellat Park,40
124,Molla Khalila Park,62
124,AlQadir Park,25
124,Pamchal Park,38
124,Mother and Child Park,60
125,Mellat Park,39
125,Molla Khalila Park,63
125,AlQadir Park,14
125,Pamchal Park,46
125,Mother and Child Park,61
126,Mellat Park,36
126,Molla Khalila Park,74
126,AlQadir Park,16
126,Pamchal Park,56
126,Mother and Child Park,67
127,Mellat Park,53
127,Molla Khalila Park,79
127,AlQadir Park,27
127,Pamchal Park,50
127,Mother and Child Park,70
128,Mellat Park,47
128,Molla Khalila Park,71
128,AlQadir Park,31
128,Pamchal Park,40
128,Mother and Child Park,67
129,Mellat Park,60
129,Molla Khalila Park,86
129,AlQadir Park,34
129,Pamchal Park,59
129,Mother and Child Park,81
130,Mellat Park,58
130,Molla Khalila Park,87
130,AlQadir Park,35
130,Pamchal Park,48
130,Mother and Child Park,78
131,Mellat Park,57
131,Molla Khalila Park,86
131,AlQadir Park,34
131,Pamchal Park,48
131,Mother and Child Park,77
132,Mellat Park,58
132,Molla Khalila Park,74
132,AlQadir Park,52
132,Pamchal Park,26
132,Mother and Child Park,81
133,Mellat Park,58
133,Molla Khalila Park,73
133,AlQadir Park,53
133,Pamchal Park,17
133,Mother and Child Park,81
134,Mellat Park,52
134,Molla Khalila Park,67
134,AlQadir Park,53
134,Pamchal Park,21
134,Mother and Child Park,76
135,Mellat Park,53
135,Molla Khalila Park,70
135,AlQadir Park,56
135,Pamchal Park,22
135,Mother and Child Park,79
157,Mellat Park,35
157,Molla Khalila Park,64
157,AlQadir Park,19
157,Pamchal Park,52
157,Mother and Child Park,61
158,Mellat Park,44
158,Molla Khalila Park,68
158,AlQadir Park,33
158,Pamchal Park,35
158,Mother and Child Park,64
160,Mellat Park,45
160,Molla Khalila Park,66
160,AlQadir Park,25
160,Pamchal Park,41
160,Mother and Child Park,64
