from_id,to_id,travel_time
54,Caspian (Elahieh) Barekat market,46
55,Sepah Market,31
55,Mahdiye Market,48
55,Qazvin Central Fruit and Vegetable Market,50
55,Minoudar Fruit and Vegetable Market,43
55,Qazvin Bazar fruits part,24
55,SayyadShirazi Barekat market,59
55,Caspian (Elahieh) Barekat market,57
56,Sepah Market,24
56,Mahdiye Market,46
56,Qazvin Central Fruit and Vegetable Market,39
56,Minoudar Fruit and Vegetable Market,43
56,Qazvin Bazar fruits part,21
56,SayyadShirazi Barekat market,57
56,Caspian (Elahieh) Barekat market,57
57,Sepah Market,26
57,Mahdiye Market,48
57,Qazvin Central Fruit and Vegetable Market,47
57,Minoudar Fruit and Vegetable Market,45
57,Qazvin Bazar fruits part,24
57,SayyadShirazi Barekat market,59
57,Caspian (Elahieh) Barekat market,59
59,Sepah Market,16
59,Mahdiye Market,45
59,Qazvin Central Fruit and Vegetable Market,35
59,Minoudar Fruit and Vegetable Market,36
59,Qazvin Bazar fruits part,12
59,SayyadShirazi Barekat market,51
59,Caspian (Elahieh) Barekat market,50
60,Sepah Market,23
60,Mahdiye Market,47
60,Qazvin Central Fruit and Vegetable Market,38
60,Minoudar Fruit and Vegetable Market,43
60,Qazvin Bazar fruits part,20
60,SayyadShirazi Barekat market,58
60,Caspian (Elahieh) Barekat market,57
61,Sepah Market,21
61,Mahdiye Market,48
61,Qazvin Central Fruit and Vegetable Market,39
61,Minoudar Fruit and Vegetable Market,32
61,Qazvin Bazar fruits part,9
61,SayyadShirazi Barekat market,47
61,Caspian (Elahieh) Barekat market,46
62,Sepah Market,30
62,Mahdiye Market,56
62,Qazvin Central Fruit and Vegetable Market,36
62,Minoudar Fruit and Vegetable Market,29
62,Qazvin Bazar fruits part,8
62,SayyadShirazi Barekat market,43
62,Caspian (Elahieh) Barekat market,42
63,Sepah Market,31
63,Mahdiye Market,54
63,Qazvin Central Fruit and Vegetable Market,32
63,Minoudar Fruit and Vegetable Market,26
63,Qazvin Bazar fruits part,14
63,SayyadShirazi Barekat market,40
63,Caspian (Elahieh) Barekat market,39
64,Sepah Market,30
64,Mahdiye Market,42
64,Qazvin Central Fruit and Vegetable Market,48
64,Minoudar Fruit and Vegetable Market,43
64,Qazvin Bazar fruits part,25
64,SayyadShirazi Barekat market,58
64,Caspian (Elahieh) Barekat market,58
65,Sepah Market,36
65,Mahdiye Market,41
65,Qazvin Central Fruit and Vegetable Market,61
65,Minoudar Fruit and Vegetable Market,37
65,Qazvin Bazar fruits part,35
65,SayyadShirazi Barekat market,54
65,Caspian (Elahieh) Barekat market,51
66,Sepah Market,32
66,Mahdiye Market,40
66,Qazvin Central Fruit and Vegetable Market,47
66,Minoudar Fruit and Vegetable Market,41
66,Qazvin Bazar fruits part,26
66,SayyadShirazi Barekat market,56
66,Caspian (Elahieh) Barekat market,56
67,Sepah Market,39
67,Mahdiye Market,45
67,Qazvin Central Fruit and Vegetable Market,60
67,Minoudar Fruit and Vegetable Market,39
67,Qazvin Bazar fruits part,33
67,SayyadShirazi Barekat market,56
67,Caspian (Elahieh) Barekat market,53
68,Sepah Market,27
68,Mahdiye Market,39
68,Qazvin Central Fruit and Vegetable Market,46
68,Minoudar Fruit and Vegetable Market,37
68,Qazvin Bazar fruits part,21
68,SayyadShirazi Barekat market,54
68,Caspian (Elahieh) Barekat market,53
69,Sepah Market,29
69,Mahdiye Market,42
69,Qazvin Central Fruit and Vegetable Market,45
69,Minoudar Fruit and Vegetable Market,32
69,Qazvin Bazar fruits part,18
69,SayyadShirazi Barekat market,49
69,Caspian (Elahieh) Barekat market,47
70,Sepah Market,38
70,Mahdiye Market,41
70,Qazvin Central Fruit and Vegetable Market,58
70,Minoudar Fruit and Vegetable Market,40
70,Qazvin Bazar fruits part,33
70,SayyadShirazi Barekat market,56
70,Caspian (Elahieh) Barekat market,54
71,Sepah Market,38
71,Mahdiye Market,38
71,Qazvin Central Fruit and Vegetable Market,57
71,Minoudar Fruit and Vegetable Market,39
71,Qazvin Bazar fruits part,29
71,SayyadShirazi Barekat market,54
71,Caspian (Elahieh) Barekat market,52
72,Sepah Market,35
72,Mahdiye Market,35
72,Qazvin Central Fruit and Vegetable Market,52
72,Minoudar Fruit and Vegetable Market,37
72,Qazvin Bazar fruits part,27
72,SayyadShirazi Barekat market,52
72,Caspian (Elahieh) Barekat market,50
73,Sepah Market,33
73,Mahdiye Market,50
73,Qazvin Central Fruit and Vegetable Market,46
73,Minoudar Fruit and Vegetable Market,27
73,Qazvin Bazar fruits part,17
73,SayyadShirazi Barekat market,40
73,Caspian (Elahieh) Barekat market,41
74,Sepah Market,38
74,Mahdiye Market,54
74,Qazvin Central Fruit and Vegetable Market,39
74,Minoudar Fruit and Vegetable Market,25
74,Qazvin Bazar fruits part,24
74,SayyadShirazi Barekat market,43
74,Caspian (Elahieh) Barekat market,39
75,Sepah Market,33
75,Mahdiye Market,33
75,Qazvin Central Fruit and Vegetable Market,56
75,Minoudar Fruit and Vegetable Market,29
75,Qazvin Bazar fruits part,31
