from_id,to_id,travel_time
48,Mehr o Mah,18
48,Abadgaran Shopping Center,7
48,Persian Gulf Tower,14
48,Alborz Commerical,9
48,Pars Commercial Complex,37
48,,49
48,Clothing and textiles section of Qazvin Bazaar,12
48,Noor Complex,27
48,Dariush Shopping Center,26
48,Alghadir Commercial Complex,8
48,Iranian Shopping Center,23
49,City Star Shopping Center,24
49,Tejarat Tower of Qazvin,27
49,Narvan Shopping Center,33
49,Mehr o Mah,28
49,Abadgaran Shopping Center,16
49,Persian Gulf Tower,23
49,Alborz Commerical,18
49,Pars Commercial Complex,35
49,,44
49,Clothing and textiles section of Qazvin Bazaar,6
49,Noor Complex,31
49,Dariush Shopping Center,30
49,Alghadir Commercial Complex,17
49,Iranian Shopping Center,29
50,City Star Shopping Center,11
50,Tejarat Tower of Qazvin,30
50,Narvan Shopping Center,34
50,Mehr o Mah,14
50,Abadgaran Shopping Center,13
50,Persian Gulf Tower,7
50,Alborz Commerical,6
50,Pars Commercial Complex,41
50,,52
50,Clothing and textiles section of Qazvin Bazaar,22
50,Noor Complex,32
50,Dariush Shopping Center,33
50,Alghadir Commercial Complex,7
50,Iranian Shopping Center,24
51,City Star Shopping Center,7
51,Tejarat Tower of Qazvin,21
51,Narvan Shopping Center,27
51,Mehr o Mah,11
51,Abadgaran Shopping Center,3
51,Persian Gulf Tower,12
51,Alborz Commerical,5
51,Pars Commercial Complex,39
51,,50
51,Clothing and textiles section of Qazvin Bazaar,16
51,Noor Complex,27
51,Dariush Shopping Center,26
51,Alghadir Commercial Complex,4
51,Iranian Shopping Center,19
52,City Star Shopping Center,34
52,Tejarat Tower of Qazvin,33
52,Narvan Shopping Center,41
52,Mehr o Mah,35
52,Abadgaran Shopping Center,25
52,Persian Gulf Tower,30
52,Alborz Commerical,28
52,Pars Commercial Complex,33
52,,42
52,Clothing and textiles section of Qazvin Bazaar,11
52,Noor Complex,36
52,Dariush Shopping Center,35
52,Alghadir Commercial Complex,26
52,Iranian Shopping Center,34
53,City Star Shopping Center,42
53,Tejarat Tower of Qazvin,42
53,Narvan Shopping Center,48
53,Mehr o Mah,44
53,Abadgaran Shopping Center,34
53,Persian Gulf Tower,41
53,Alborz Commerical,38
53,Pars Commercial Complex,41
53,,47
53,Clothing and textiles section of Qazvin Bazaar,30
53,Noor Complex,45
53,Dariush Shopping Center,44
53,Alghadir Commercial Complex,37
53,Iranian Shopping Center,44
54,City Star Shopping Center,31
54,Tejarat Tower of Qazvin,29
54,Narvan Shopping Center,23
54,Mehr o Mah,32
54,Abadgaran Shopping Center,30
54,Persian Gulf Tower,16
54,Alborz Commerical,25
54,Pars Commercial Complex,29
54,,45
54,Clothing and textiles section of Qazvin Bazaar,32
54,Noor Complex,25
54,Dariush Shopping Center,26
54,Alghadir Commercial Complex,25
54,Iranian Shopping Center,33
55,City Star Shopping Center,7
55,Tejarat Tower of Qazvin,23
55,Narvan Shopping Center,30
55,Mehr o Mah,7
55,Abadgaran Shopping Center,16
55,Persian Gulf Tower,14
55,Alborz Commerical,16
55,Pars Commercial Complex,40
55,,53
55,Clothing and textiles section of Qazvin Bazaar,24
55,Noor Complex,25
55,Dariush Shopping Center,27
55,Alghadir Commercial Complex,15
55,Iranian Shopping Center,17
56,City Star Shopping Center,3
56,Tejarat Tower of Qazvin,20
56,Narvan Shopping Center,27
56,Mehr o Mah,6
56,Abadgaran Shopping Center,5
56,Persian Gulf Tower,16
56,Alborz Commerical,9
56,Pars Commercial Complex,40
56,,51
56,Clothing and textiles section of Qazvin Bazaar,19
56,Noor Complex,23
