from_id,to_id,travel_time
55,Specialized Family Cultural Center (Montazeri),40
56,Bano Cultural Center,31
56,Pardis Cultural Center,45
56,HadiAbad Cultural Center,42
56,Navab Safavi Cultural center & Library,28
56,Rose Cultural center,32
56,Mohamadieh Cultural center & Library,20
56,Specialized Family Cultural Center (Montazeri),30
57,Bano Cultural Center,34
57,Pardis Cultural Center,48
57,HadiAbad Cultural Center,45
57,Navab Safavi Cultural center & Library,33
57,Rose Cultural center,33
57,Mohamadieh Cultural center & Library,24
57,Specialized Family Cultural Center (Montazeri),38
59,Bano Cultural Center,27
59,Pardis Cultural Center,41
59,HadiAbad Cultural Center,36
59,Navab Safavi Cultural center & Library,21
59,Rose Cultural center,24
59,Mohamadieh Cultural center & Library,18
59,Specialized Family Cultural Center (Montazeri),26
60,Bano Cultural Center,30
60,Pardis Cultural Center,44
60,HadiAbad Cultural Center,43
60,Navab Safavi Cultural center & Library,28
60,Rose Cultural center,31
60,Mohamadieh Cultural center & Library,19
60,Specialized Family Cultural Center (Montazeri),29
61,Bano Cultural Center,29
61,Pardis Cultural Center,46
61,HadiAbad Cultural Center,32
61,Navab Safavi Cultural center & Library,16
61,Rose Cultural center,29
61,Mohamadieh Cultural center & Library,24
61,Specialized Family Cultural Center (Montazeri),29
62,Bano Cultural Center,30
62,Pardis Cultural Center,52
62,HadiAbad Cultural Center,31
62,Navab Safavi Cultural center & Library,12
62,Rose Cultural center,39
62,Mohamadieh Cultural center & Library,29
62,Specialized Family Cultural Center (Montazeri),28
63,Bano Cultural Center,26
63,Pardis Cultural Center,48
63,HadiAbad Cultural Center,28
63,Navab Safavi Cultural center & Library,10
63,Rose Cultural center,44
63,Mohamadieh Cultural center & Library,33
63,Specialized Family Cultural Center (Montazeri),27
64,Bano Cultural Center,30
64,Pardis Cultural Center,45
64,HadiAbad Cultural Center,43
64,Navab Safavi Cultural center & Library,30
64,Rose Cultural center,38
64,Mohamadieh Cultural center & Library,28
64,Specialized Family Cultural Center (Montazeri),38
65,Bano Cultural Center,29
65,Pardis Cultural Center,42
65,HadiAbad Cultural Center,41
65,Navab Safavi Cultural center & Library,36
65,Rose Cultural center,41
65,Mohamadieh Cultural center & Library,37
65,Specialized Family Cultural Center (Montazeri),51
66,Bano Cultural Center,27
66,Pardis Cultural Center,41
66,HadiAbad Cultural Center,41
66,Navab Safavi Cultural center & Library,29
66,Rose Cultural center,40
66,Mohamadieh Cultural center & Library,27
66,Specialized Family Cultural Center (Montazeri),38
67,Bano Cultural Center,33
67,Pardis Cultural Center,46
67,HadiAbad Cultural Center,43
67,Navab Safavi Cultural center & Library,38
67,Rose Cultural center,45
67,Mohamadieh Cultural center & Library,38
67,Specialized Family Cultural Center (Montazeri),50
68,Bano Cultural Center,23
68,Pardis Cultural Center,37
68,HadiAbad Cultural Center,37
68,Navab Safavi Cultural center & Library,25
68,Rose Cultural center,35
68,Mohamadieh Cultural center & Library,27
68,Specialized Family Cultural Center (Montazeri),37
69,Bano Cultural Center,26
69,Pardis Cultural Center,40
