,name,name:fa,name:en,geometry,sport,building,leisure,lat,lon
0,ورزشگاه شهید رجایی,ورزشگاه شهید رجایی,Shahid Rajaei Stadium,POINT (50.02201261762233 36.26712303761602),,,stadium,36.26712303761602,50.02201261762233
1,مجموعه ورزشی کانون رشد,,Kanoon Roshd Sport Complex,POINT (49.99405029600933 36.32518886670536),,yes,sports_centre,36.32518886670536,49.99405029600933
2,مجموعه ورزشی معلم,,Moallem Sport Cpmplex,POINT (49.99527479600852 36.25849730331092),running,,sports_centre,36.25849730331092,49.99527479600852
3,مجتمع ورزشی الغدیر,,Ghadir Sport complex,POINT (50.003311216945406 36.29111737846304),,,sports_centre,36.29111737846304,50.003311216945406
4,مجموعه فرهنگی ورزشی چمران,,Chamran Sport Complex,POINT (50.00505014443737 36.30835570364009),,yes,sports_centre,36.30835570364009,50.00505014443737
5,مجموعه ورزشی ریحانه حضرت رسول,,Reyhane Hazrat Rasoul Sport complex,POINT (50.02312734915704 36.31347224323686),,,,36.31347224323686,50.02312734915704
6,مجموعه ورزشی خلیج فارس,,Persian Gulf sport complex,POINT (49.98672002573247 36.31566083710565),,,,36.31566083710565,49.98672002573247
7,مجموعه ورزشی شهدای مدافع حرم,,Shohadaye Modafe e Haram sport complex,POINT (50.00312915807467 36.30200471773358),,,,36.30200471773358,50.00312915807467
8,مجموعه ورزشی کوثر,,Kowsar Sport Complex,POINT (50.014470072445036 36.270681588239675),,,,36.270681588239675,50.014470072445036
