,name,name:fa,name:en,brand,brand:fa,brand:en,atm,building:levels,geometry,brand:wikidata,area_m2,lon,lat
100,بانک ملی,,Bank Melli Iran,بانک ملی,,Bank Melli Iran,yes,4,POINT (50.00957724565611 36.279907443785625),Q806640,330.3356458846771,50.00957724565611,36.279907443785625
101,بانک ملت,,Bank Mellat,بانک ملت,,Bank Mellat,yes,8,POINT (50.01305080467569 36.30798046850072),Q4855944,566.7340030364196,50.01305080467569,36.30798046850072
102,بانک مسکن,,Bank Maskan,بانک مسکن,,Bank Maskan,yes,3,POINT (50.00730490403556 36.269079833038404),Q4855942,1142.8482320298467,50.00730490403556,36.269079833038404
103,بانک تجارت,,Tejarat Bank,بانک تجارت,,,yes,2.5,POINT (50.00910528600154 36.27720229809948),Q7695198,210.50877140668098,50.00910528600154,36.27720229809948
104,بانک مسکن,بانک مسکن خیام شمالی قزوین,Bank Maskan,بانک مسکن,,Bank Maskan,yes,3.1,POINT (50.00943214886806 36.2789008563346),Q4855942,211.1399282153224,50.00943214886806,36.2789008563346
105,بانک سرمایه,,Sarmayeh Bank,بانک سرمایه,,Sarmayeh Bank,yes,3,POINT (50.00938764113236 36.27874577840566),Q7424291,280.2426166353431,50.00938764113236,36.27874577840566
106,بانک سپه,بانک سپه,Bank Sepah,بانک سپه,بانک سپه,Bank Sepah,,3,POINT (50.01135894543053 36.26818060780431),Q2882624,264.6419628850825,50.01135894543053,36.26818060780431
107,بانک ملی,,Bank Melli Iran,بانک ملی,,Bank Melli Iran,,2,POINT (50.008476523206845 36.27338740900564),Q806640,354.8540229058694,50.008476523206845,36.27338740900564
108,بانک سرمایه,بانک سرمایه,Sarmayeh Bank,بانک سرمایه,بانک سرمایه,Sarmayeh Bank,,1,POINT (50.00735743319531 36.277168408314694),Q7424291,167.91312660296575,50.00735743319531,36.277168408314694
109,بانک صادرات,بانک صادرات,Bank Saderat Iran,بانک صادرات,بانک صادرات,Bank Saderat Iran,,2,POINT (50.007952881324975 36.28218207659083),Q2882608,257.37238884339104,50.007952881324975,36.28218207659083
