,name,name:fa,name:en,addr:street,geometry,religion,lon,lat
79,مسجد مسلم بن عقیل,,Moslem ebn Aghil Mosque,,POINT (49.98693074842776 36.321991448659084),,49.98693074842776,36.321991448659084
80,مسجد امام هادی,,Imam Hadi Mosque,,POINT (50.00071824355555 36.31712040404389),,50.00071824355555,36.31712040404389
81,مسجد فاطمه زهرا,,Fatemeh Al-Zahra Mosque,,POINT (50.026064236494705 36.31237869314739),,50.026064236494705,36.31237869314739
82,مسجد صاحب الزمان,,Sahebazaman Mosque,,POINT (50.020080534600424 36.31017285803251),,50.020080534600424,36.31017285803251
83,مسجد امام حسن عسگری,,Imam Hasan Asgari Mosque,,POINT (50.0178773918557 36.308082726669554),,50.0178773918557,36.308082726669554
84,مسجد امام حسین,,Imam Hosein Mosque,,POINT (50.00679501237108 36.244472170314104),,50.00679501237108,36.244472170314104
85,مسجد جواد الائمه,,JavadoAemeh Mosque,,POINT (50.00558789356016 36.24814339742096),,50.00558789356016,36.24814339742096
86,مسجد حسینی,,Hossein Mosque,,POINT (50.00471235334238 36.250331665386284),,50.00471235334238,36.250331665386284
87,مسجد خواجه شهدا,,Khajeh Shohada Mosque,,POINT (49.99080321254382 36.26114925528951),,49.99080321254382,36.26114925528951
88,مسجد حضرت فاطمه زهرا,,Fatemeh Zahra Mosque,,POINT (49.9851623680212 36.25953530850777),,49.9851623680212,36.25953530850777
89,مسجد آقا میرعبدالصمد تقوی,,AghaMirAbdolSamad Taghavi Mosque,,POINT (49.99780899885943 36.2621226049184),,49.99780899885943,36.2621226049184
90,مسجد شهید ثالث,,Shahid thales Mosque,,POINT (49.99670943509701 36.26793363301575),,49.99670943509701,36.26793363301575
91,مسجد چهارده معصوم,,Chahardah Masoum Mosque,,POINT (49.99359284886826 36.265797330002755),,49.99359284886826,36.265797330002755
92,مسجد حاج غلامحسین توحید,,Haj GholamHosein Mosque,,POINT (49.9931181383814 36.26721868425566),,49.9931181383814,36.26721868425566
93,مسجد حجتی,,Hojjati Mosque,,POINT (49.99499547969556 36.270693559070324),,49.99499547969556,36.270693559070324
94,مسجد محمدخان بیگ,,Mohammad Khan Beg Mosque,,POINT (49.994051962166246 36.27429883914203),,49.994051962166246,36.27429883914203
95,مسجد ملکی جنوبی,,Maleki Jonoubi Mosque,,POINT (49.997223100037516 36.27478787104953),,49.997223100037516,36.27478787104953
96,مسجد ملکی شمالی,,Maleki Shomali Mosque,,POINT (49.997455176082546 36.2753506590197),,49.997455176082546,36.2753506590197
97,حسینیه مسلم ابن عقیل,,Molem ebn Aghil Hosseinieh,,POINT (49.99155745178975 36.292979821613),,49.99155745178975,36.292979821613
98,حسینیه یادگار امام,,Yadegar Imam Hosseinieh,,POINT (50.02642825762715 36.318034296696894),,50.02642825762715,36.318034296696894
99,مسجد شهید آیت اله دستغیب,,Dastgheyb Mosque,,POINT (49.99619658447521 36.26834205433692),,49.99619658447521,36.26834205433692
100,حسینیه آقاسیدجمال,,Agha Seyyed Jamal Hosseinieh,,POINT (50.00017145901467 36.261834931590506),,50.00017145901467,36.261834931590506
